// 2022/05/02 23:10:35
// ReaderName=impinj-14-5a-9f, AntennaIDs=1,2,3,4, InventoryMode=DualTarget, ModeIndex=1002, Population=32, PowerInDbm=20, Session=2
// Timestamp, EPC, TID, Antenna, RSSI, Frequency, Hostname, PhaseAngle, DopplerFrequency
2022-05-02T23:13:02.6836960+09:00,300833B2DDD9014000000000,,4,-55.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:02.8073510+09:00,300833B2DDD9014000000000,,4,-56,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:02.8359040+09:00,300833B2DDD9014000000000,,4,-56.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:02.9588650+09:00,300833B2DDD9014000000000,,4,-58.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:02.9941130+09:00,300833B2DDD9014000000000,,4,-58.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.1185880+09:00,300833B2DDD9014000000000,,4,-58.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.1512920+09:00,300833B2DDD9014000000000,,4,-58.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.2703010+09:00,300833B2DDD9014000000000,,4,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.3047430+09:00,300833B2DDD9014000000000,,4,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.4293690+09:00,300833B2DDD9014000000000,,4,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.4603630+09:00,300833B2DDD9014000000000,,4,-57.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.5871430+09:00,300833B2DDD9014000000000,,4,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.6204590+09:00,300833B2DDD9014000000000,,4,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.7410620+09:00,300833B2DDD9014000000000,,4,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.7765910+09:00,300833B2DDD9014000000000,,4,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.8477910+09:00,300833B2DDD9014000000000,,1,-58.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.8828150+09:00,300833B2DDD9014000000000,,1,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.9081590+09:00,300833B2DDD9014000000000,,4,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.9400990+09:00,300833B2DDD9014000000000,,4,-59,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:03.9796260+09:00,300833B2DDD9014000000000,,1,-59,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.0146870+09:00,300833B2DDD9014000000000,,1,-58.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.1349290+09:00,300833B2DDD9014000000000,,1,-56.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.1674870+09:00,300833B2DDD9014000000000,,1,-56.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.2947600+09:00,300833B2DDD9014000000000,,1,-56,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.3283900+09:00,300833B2DDD9014000000000,,1,-56,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.4511970+09:00,300833B2DDD9014000000000,,1,-55.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.4820710+09:00,300833B2DDD9014000000000,,1,-55,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.6041590+09:00,300833B2DDD9014000000000,,1,-54,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.6383630+09:00,300833B2DDD9014000000000,,1,-54,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.7520490+09:00,300833B2DDD9014000000000,,1,-54,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.7930190+09:00,300833B2DDD9014000000000,,1,-54,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.9167510+09:00,300833B2DDD9014000000000,,1,-55,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:04.9479750+09:00,300833B2DDD9014000000000,,1,-54.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.0014460+09:00,300833B2DDD9014000000000,,4,-58,916.8,impinj-14-5a-9f,,
