// 2022/05/03 0:35:46
// ReaderName=impinj-14-5a-9f, AntennaIDs=1,2,3,4, InventoryMode=DualTarget, ModeIndex=1002, Population=32, PowerInDbm=20, Session=2
// Timestamp, EPC, TID, Antenna, RSSI, Frequency, Hostname, PhaseAngle, DopplerFrequency
2022-05-03T00:38:12.0363710+09:00,300833B2DDD9014000000000,,4,-54,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.1602340+09:00,300833B2DDD9014000000000,,4,-54,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.1935190+09:00,300833B2DDD9014000000000,,4,-54,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.3262360+09:00,300833B2DDD9014000000000,,4,-53.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.3616000+09:00,300833B2DDD9014000000000,,4,-53,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.4888540+09:00,300833B2DDD9014000000000,,4,-54,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.5222500+09:00,300833B2DDD9014000000000,,4,-54,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.6481020+09:00,300833B2DDD9014000000000,,4,-54,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.6779730+09:00,300833B2DDD9014000000000,,4,-54.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.7238580+09:00,300833B2DDD9014000000000,,1,-60.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.7541010+09:00,300833B2DDD9014000000000,,1,-60,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.8048200+09:00,300833B2DDD9014000000000,,4,-54.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.8376190+09:00,300833B2DDD9014000000000,,4,-54.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.8769700+09:00,300833B2DDD9014000000000,,1,-59.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.9164110+09:00,300833B2DDD9014000000000,,1,-59.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.9775890+09:00,300833B2DDD9014000000000,,4,-55.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:13.0087390+09:00,300833B2DDD9014000000000,,4,-55.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:13.0537920+09:00,300833B2DDD9014000000000,,1,-57.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:13.0943520+09:00,300833B2DDD9014000000000,,1,-57.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:13.1450240+09:00,300833B2DDD9014000000000,,4,-55,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:13.1770580+09:00,300833B2DDD9014000000000,,4,-54.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:13.2180200+09:00,300833B2DDD9014000000000,,1,-57,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:13.2561520+09:00,300833B2DDD9014000000000,,1,-57,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:13.3101900+09:00,300833B2DDD9014000000000,,4,-55,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:13.3470510+09:00,300833B2DDD9014000000000,,4,-54.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:13.3848530+09:00,300833B2DDD9014000000000,,1,-56,916.8,impinj-14-5a-9f,,
